"Data item name","Data item Description","Composite data item (1)","Composite data item - level (2)","Data Item Type","Data type","Cardinality","Default value","Values	Validation","Associated score","Allow multiple","Help text","Read only","Include item","Data item (SNOMED)","Is the data constraining?","SNOMED codes or subset ID","Is post-coordination allowed?","Care Record Element","Specific conditional behaviour","National data sets","Calculation","Annotation","Archetype Id","Section ID"
"Diabetes, MS, CVA","The subject has diabetes, multiple sclerosis or has had a stroke.","No","","Primary","ORDINAL","[0..1]","","[0] No neurological deficit| [4] Mild neurological deficit| [5] Moderate neurological deficit| [6] Severe neurological deficit","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0073]/items[at0150]","105"
"Motor / sensory deficit","The subject has a motor or sensory deficit.","No","","Primary","ORDINAL","[0..1]","","[0] No neurological deficit| [4] Mild neurological deficit| [5] Moderate neurological deficit| [6] Severe neurological deficit","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0073]/items[at0151]","105"
"Paraplegia","The subject has a paraplegia.","No","","Primary","ORDINAL","[0..1]","","[0] No neurological deficit| [4] Mild neurological deficit| [5] Moderate neurological deficit| [6] Severe neurological deficit","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0073]/items[at0152]","105"
"Combined neurological deficit","An overall estimate of neurological deficit. Should not be used if individual neurological deficit risks are recorded.","No","","Primary","ORDINAL","[0..1]","","[0] No neurological deficit| [4] Mild neurological deficit| [5] Moderate neurological deficit| [6] Severe neurological deficit","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0073]/items[at0135]","105"
"Major surgery or trauma","Risk associated with major surgery or trauma.","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0068]","105"
"Orthopaedic /spinal","Risks related to orthopaedic or spinal surgery.","No","","Primary","ORDINAL","[0..1]","","[0] No orthopaedic / spinal surgery| [5] Orthopaedic /spinal surgery","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0068]/items[at0114]","105"
"Duration of surgery","Risks imparted by length of surgery.","No","","Primary","ORDINAL","[0..1]","","[0] On table < 2 hrs or not in ast 48 hrs| [5] On table > 2 hrs (Past 48 hrs)| [8] On table > 6 hrs (Past 48 hrs)","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0068]/items[at0144]","105"
"Medication","Risk associated with medication.  Each medication can be scored between 0-4 but a total of 4 only can be given by all risks in the Medication category.","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0067]","105"
"Cytotoxics","The subject is receiving cytotoxic medication.","No","","Primary","ORDINAL","[0..1]","","[0] No medication risk| [4] Significant medication risk","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0067]/items[at0106]","105"
"Steroids","The subject is receiving high-dose or long-term steroid medication.","No","","Primary","ORDINAL","[0..1]","","[0] No medication risk| [4] Significant medication risk","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0067]/items[at0107]","105"
"Anti-inflammatories","The subject is receiving anti-inflammatory medication.","No","","Primary","ORDINAL","[0..1]","","[0] No medication risk| [4] Significant medication risk","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0067]/items[at0108]","105"
"Combined medication risk","Overall pressure ulcer risk related to medication. Should not be recorded if individual medication risks are used.","No","","Primary","ORDINAL","[0..1]","","[0] No medication risk| [4] Significant medication risk","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0067]/items[at0140]","105"
"Waterlow score","The total summed score of all recorded individual risks.","No","","Primary","COUNT","[0..1]",""," >= 1; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0014]","105"
"Overall risk grade","Overall Waterlow Score.","No","","Primary","ORDINAL","[0..1]","","[10] 10+ At risk| [15] 15+ High risk| [20] 20+ Very high risk","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0015]","105"
"Comment","Additional narrative comment about the Score.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0019]","105"
"state","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/state[at0071]","105"
"Confounding factors","Issues that may affect interpretation of the score.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/data[at0001]/events[at0002]/state[at0071]/items[at0072]","105"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/protocol[at0132]","105"
"Score version","The version of the score used, normally recorded as the year.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.waterlow_score.v1/protocol[at0132]/items[at0133]","105"
"Any event","Any event.","Yes: Timing","","Composite","DateTime or Interval<DateTime>","[0..1]","","Offset = ","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.nyha_heart_failure_score.v1/data[at0001]/events[at0002]","106"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.nyha_heart_failure_score.v1/data[at0001]/events[at0002]/data[at0003]","106"
"Heart failure classification","The functional classification of heart failure based on patient symptoms.","No","","Primary","ORDINAL","[0..1]","","[1] Class I| [2] Class II| [3] Class III| [4] Class IV","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.nyha_heart_failure_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0004]","106"
"Comment","Additional comment about the NYHA heart failure classification result.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.nyha_heart_failure_score.v1/data[at0001]/events[at0002]/data[at0003]/items[at0009]","106"
"state","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.nyha_heart_failure_score.v1/data[at0001]/events[at0002]/state[at0010]","106"
"Confounding factors","Record any issues or factors that may impact on the classification of heart failure symptoms.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.nyha_heart_failure_score.v1/data[at0001]/events[at0002]/state[at0010]/items[at0011]","106"
"Recording event","The event at which the recording was made.","Yes: Timing","","Composite","DateTime","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.howru.v1/data[at0001]/events[at0002]","107"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.howru.v1/data[at0001]/events[at0002]/data[at0003]","107"
"Pain or discomfort","Symptoms such as pain – includes all physical forms of discomfort such as breathlessness, itching, dizziness or nausea.","No","","Primary","ORDINAL","[1..1]","","[0] none| [1] slight| [2] quite a lot| [3] extreme","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.howru.v1/data[at0001]/events[at0002]/data[at0003]/items[at0044]","107"
"Feeling low or worried","Feeling low or worried – includes all psychological states, including anxiety, feeling low and depression.","No","","Primary","ORDINAL","[1..1]","","[0] none| [1] slight| [2] quite a lot| [3] extreme","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.howru.v1/data[at0001]/events[at0002]/data[at0003]/items[at0008]","107"
"Limited in what I can do","Limited in what I can do – includes incapacity due to physical or psychological reasons, such as not being able to perform activities of daily living, or not being able to carry out leisure activities.","No","","Primary","ORDINAL","[1..1]","","[0] none| [1] slight| [2] quite a lot| [3] extreme","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.howru.v1/data[at0001]/events[at0002]/data[at0003]/items[at0039]","107"
"Dependent on others","Dependent on others – the need to rely on other people or equipment.","No","","Primary","ORDINAL","[1..1]","","[0] none| [1] slight| [2] quite a lot| [3] extreme","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.howru.v1/data[at0001]/events[at0002]/data[at0003]/items[at0006]","107"
"Summary score","An overall score combining the 4 individual ratings. ","No","","Primary","COUNT","[1..1]",""," >= 0;  <= 12","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.howru.v1/data[at0001]/events[at0002]/data[at0003]/items[at0004]","107"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.howru.v1/protocol[at0022]","107"
"Request","Current Activity.","Yes: Activity","","Label","Text","[1..*]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.request-lab_test.v1/activities[at0001]","109"
"description","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.request-lab_test.v1/description[at0009]/description[at0009]","109"
"Service requested","Identification of the service requested. This is often coded with an external terminology.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-lab_test.v1/description[at0009]/description[at0009]/items[at0121]","109"
"Description of service","A detailed narrative description of the service requested.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-lab_test.v1/description[at0009]/description[at0009]/items[at0135]","109"
"Reason for request","A short description of the reason for the request.  This is often coded with an external terminology.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-lab_test.v1/description[at0009]/description[at0009]/items[at0062]","109"
"Reason description","A narrative description explaining the reason for request.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-lab_test.v1/description[at0009]/description[at0009]/items[at0064]","109"
"Intent","Stated intent of the request by the referrer.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-lab_test.v1/description[at0009]/description[at0009]/items[at0065]","109"
"Urgency","Urgency of the request.","No","","Primary","CODED_TEXT","[0..1]","","Emergency; Urgent; Routine","","N","","N","","n/a","Yes","Emergency (local::at0136)| Urgent (local::at0137)| Routine (local::at0138)","","","","","","","openEHR-EHR-INSTRUCTION.request-lab_test.v1/description[at0009]/description[at0009]/items[at0068]","109"
"DateTime test preferred","The preferred date and time by which the service should be performed or completed.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-lab_test.v1/description[at0009]/description[at0009]/items[at0040.1]","109"
"Latest DateTime test required","The latest date that is acceptable for the service to be completed.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-lab_test.v1/description[at0009]/description[at0009]/items[at0144.1]","109"
"Supplementary information to follow","True indicates that additional information has been identified and will be forwarded when available eg incomplete pathology test results.","No","","Primary","BOOLEAN","[0..1]","","True, False","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-lab_test.v1/description[at0009]/description[at0009]/items[at0076]","109"
"Supplementary information expected","Details of the nature of supplementary information that is to follow e.g name of laboratory results.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-lab_test.v1/description[at0009]/description[at0009]/items[at0078]","109"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.request-lab_test.v1/protocol[at0008]","109"
"Requestor Identifier","The local ID assigned to the order by the healthcare provider or organisation requesting the service. This is also referred to as Placer Order Identifier.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-lab_test.v1/protocol[at0008]/items[at0010]","109"
"Receiver identifier","The ID assigned to the order by the healthcare provider or organisation receiving the request for service. This is also referred to as Filler Order Identifier.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-lab_test.v1/protocol[at0008]/items[at0011]","109"
"Request status","The status of the request for service as indicated by the requester. Status is used to denote whether this is the initial request, or a follow-up request to change or provide supplementary information.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-lab_test.v1/protocol[at0008]/items[at0127]","109"
"Request","Current Activity.","Yes: Activity","","Label","Text","[1..*]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.request-imaging_exam.v1/activities[at0001]","110"
"description","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.request-imaging_exam.v1/description[at0009]/description[at0009]","110"
"Examination requested","Identification of the examination requested. This is often coded with an external terminology.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-imaging_exam.v1/description[at0009]/description[at0009]/items[at0121.1]","110"
"Description of examination","A detailed narrative description of the examination requested.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-imaging_exam.v1/description[at0009]/description[at0009]/items[at0135.1]","110"
"Reason for request","A short description of the reason for the request.  This is often coded with an external terminology.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-imaging_exam.v1/description[at0009]/description[at0009]/items[at0062]","110"
"Reason description","A narrative description explaining the reason for request.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-imaging_exam.v1/description[at0009]/description[at0009]/items[at0064]","110"
"Intent","Stated intent of the request by the referrer.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-imaging_exam.v1/description[at0009]/description[at0009]/items[at0065]","110"
"Urgency","Urgency of the request.","No","","Primary","CODED_TEXT","[0..1]","","Emergency; Urgent; Routine","","N","","N","","n/a","Yes","Emergency (local::at0136)| Urgent (local::at0137)| Routine (local::at0138)","","","","","","","openEHR-EHR-INSTRUCTION.request-imaging_exam.v1/description[at0009]/description[at0009]/items[at0068]","110"
"Date &/or time service required","The date and time that the service should be performed or completed.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-imaging_exam.v1/description[at0009]/description[at0009]/items[at0040]","110"
"Latest date service required","The latest date that is acceptable for the service to be completed.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-imaging_exam.v1/description[at0009]/description[at0009]/items[at0144]","110"
"Supplementary information to follow","True indicates that additional information has been identified and will be forwarded when available eg incomplete pathology test results.","No","","Primary","BOOLEAN","[0..1]","","True, False","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-imaging_exam.v1/description[at0009]/description[at0009]/items[at0076]","110"
"Supplementary information expected","Details of the nature of supplementary information that is to follow e.g name of laboratory results.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-imaging_exam.v1/description[at0009]/description[at0009]/items[at0078]","110"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.request-imaging_exam.v1/protocol[at0008]","110"
"Requestor Identifier","The local ID assigned to the order by the healthcare provider or organisation requesting the service. This is also referred to as Placer Order Identifier.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-imaging_exam.v1/protocol[at0008]/items[at0010]","110"
"Receiver identifier","The ID assigned to the order by the healthcare provider or organisation receiving the request for service. This is also referred to as Filler Order Identifier.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-imaging_exam.v1/protocol[at0008]/items[at0011]","110"
"Request status","The status of the request for service as indicated by the requester. Status is used to denote whether this is the initial request, or a follow-up request to change or provide supplementary information.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-imaging_exam.v1/protocol[at0008]/items[at0127]","110"
"Any event","Any event.","Yes: Timing","","Composite","DateTime or Interval<DateTime>","[0..*]","","Offset = ","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.lab_test.v1/data[at0001]/events[at0002]","111"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.lab_test.v1/data[at0001]/events[at0002]/data[at0003]","111"
"Test name","Specific identifier for this lab test. e.g. Full blood count , blood glucose, urine microbiology.  May equate to the result name for a single value result. Commonly a coded term e.g from LOINC or SNOMED-CT.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.lab_test.v1/data[at0001]/events[at0002]/data[at0003]/items[at0005]","111"
"Diagnostic service","The type of high-level diagnostic service e.g. biochemistry, haematology.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.lab_test.v1/data[at0001]/events[at0002]/data[at0003]/items[at0077]","111"
"Test status","The status of the lab test as a whole.","No","","Primary","CODED_TEXT","[0..1]","","Interim; Final; Supplementary; Corrected (amended); Aborted; Never performed","","N","","N","","n/a","Yes","Interim (local::at0037)| Final (local::at0038)| Supplementary (local::at0039)| Corrected (amended) (local::at0040)| Aborted (local::at0074)| Never performed (local::at0079)","","","","","","","openEHR-EHR-OBSERVATION.lab_test.v1/data[at0001]/events[at0002]/data[at0003]/items[at0073]","111"
"Result","The result of the test.","No","","Primary","ANY","[0..*]","","Choice: *","","Y","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.lab_test.v1/data[at0001]/events[at0002]/data[at0003]/items[at0078]","111"
"Overall interpretation","An overall interpretative comment on this test.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.lab_test.v1/data[at0001]/events[at0002]/data[at0003]/items[at0057]","111"
"Multimedia representation","Representations of the whole test in mutlimedia e.g image, audio, video.","No","","Primary","MULTIMEDIA","[0..*]","","","","Y","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.lab_test.v1/data[at0001]/events[at0002]/data[at0003]/items[at0010]","111"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.lab_test.v1/protocol[at0004]","111"
"Requestor order identifier","The local ID assigned to the order by the order requester. Equivalent to the Placer Order Identifier.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.lab_test.v1/protocol[at0004]/items[at0062]","111"
"Receiver order Identifier","The local ID assigned to the test order by the order filler, usually by the (LIS) Laboratory Information System. Equivalent to the DICOM Accession Number and the Filler Order Identifier.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.lab_test.v1/protocol[at0004]/items[at0063]","111"
"Laboratory test result identifier","The identifier given to the laboratory test result of a pathology investigation.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.lab_test.v1/protocol[at0004]/items[at0068]","111"
"Datetime result issued","The date and/or time that the result was issued for the recorded ‘test status’.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.lab_test.v1/protocol[at0004]/items[at0075]","111"
"Any event","Any event.","Yes: Timing","","Composite","DateTime or Interval<DateTime>","[0..1]","","Offset = ","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/data[at0001]/events[at0002]","112"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/data[at0001]/events[at0002]/data[at0003]","112"
"Examination result name","Identification of the imaging examination or procedure performed, typically including modality and anatomical location (including laterality). Coding with a terminology, potientially a pre-coordinated term specifying both modality and anatomical location, is desirable where possible. Possible candidate terminologies: LOINC, SNOMED CT or RadLex.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/data[at0001]/events[at0002]/data[at0003]/items[at0004]","112"
"Modality","The imaging method used to perform the examination e.g Ultrasound, CT, X-ray. Coding with a terminology is desirable, where possible. If the modality is specified by a code in the Examination result name, then this field is not required.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/data[at0001]/events[at0002]/data[at0003]/items[at0005]","112"
"Overall result status","The status of the examination result as a whole.","No","","Primary","CODED_TEXT","[1..1]","","Registered; Interim; Final; Amended; Cancelled / Aborted","","N","","N","","n/a","Yes","Registered (local::at0009)| Interim (local::at0010)| Final (local::at0011)| Amended (local::at0012)| Cancelled / Aborted (local::at0013)","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/data[at0001]/events[at0002]/data[at0003]/items[at0007]","112"
"DateTime result issued","The date and/or time that the result was issued for the recorded 'Examination result status'.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/data[at0001]/events[at0002]/data[at0003]/items[at0024]","112"
"Clinical information provided","Description of clinical information available at the time of interpretation of results, and which may a link to the original clinical information provided in the examination request.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/data[at0001]/events[at0002]/data[at0003]/items[at0014]","112"
"Findings","Narrative description of findings, including comparative findings.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/data[at0001]/events[at0002]/data[at0003]/items[at0008]","112"
"Result group","A group of structured results. Results may be grouped by anatomical location or by some other name or code to describe what binds all the results together. If a name or code is used, it is provided by run-time re-naming of the 'Result group' element or may be fixed in a specialised archetype or template. Coding with a terminology, potentially a pre-coordinated term including specimen type, is preferred where possible for the name. Should be coded with LOINC or SNOMED CT.","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/data[at0001]/events[at0002]/data[at0003]/items[at0015]","112"
"Result","Specific detailed result, including both the value of the result item and additional information that may be useful for clinical interpretation. Results include whatever specific data items imaging services report as part of the clinical service; it may include measurements. These are often referred to as 'Structured Findings'. The result is identified by run-time re-naming of the 'Result group' element or may be fixed in a specialised archetype or template. Coding with a terminology, potentially a pre-coordinated term including specimen type, is preferred where possible for the name. Should be coded with LOINC or SNOMED CT. Examples include cardiac ejection fraction or bone density.","Yes: Cluster","","Label","Text","[0..*]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/data[at0001]/events[at0002]/data[at0003]/items[at0015]/items[at0016]","112"
"Result value","Actual value of the result. Most result values will be numerical measurements, but others may be coded concepts or free text.","No","","Primary","ANY","[0..1]","","Choice: *","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/data[at0001]/events[at0002]/data[at0003]/items[at0015]/items[at0016]/items[at0017]","112"
"Result comment","May include statements about significant, unexpected or unreliable 
values, or information about the source of the value where this may be relevant to the interpretation of the result.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/data[at0001]/events[at0002]/data[at0003]/items[at0015]/items[at0016]/items[at0018]","112"
"Radiological diagnosis","Single word, phrase or brief description representing the 'Conclusion'. Coding with a terminology is preferred, where possible.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/data[at0001]/events[at0002]/data[at0003]/items[at0020]","112"
"Conclusion","Concise and clinically contextualised narrative interpretation of the imaging examination findings.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/data[at0001]/events[at0002]/data[at0003]/items[at0021]","112"
"Examination result representation","Rich text representation of the entire result as issued by the diagnostic service. Multiple formats are allowed but they must be semantically equivalent.","No","","Primary","MULTIMEDIA","[0..*]",""," |  |  |  |  |  |  | ","","Y","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/data[at0001]/events[at0002]/data[at0003]/items[at0022]","112"
"Examination comment","Additional narrative about the examination not captured in other fields. For example, recommendations for future examinations; a comment on appropriateness of the examination or on quality of images, if separate to findings; or a note that the film was given to the patient.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/data[at0001]/events[at0002]/data[at0003]/items[at0023]","112"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]","112"
